libgcrypt , 1.10.1  , gcc   , gcc (GCC) 13.1.1 20230429                       , gcry_mpi_powm                   , 10 , 3072 , 592   
libgcrypt , 1.10.1  , gcc   , gcc (GCC) 13.1.1 20230429                       , gcry_pk_sign                    , 10 , 3072 , 581   
openssl   , 3.0.7   , clang , clang version 15.0.7                            , EVP_PKEY_sign_crt               , 10 , 3072 , 6553  
openssl   , 3.0.7   , clang , clang version 15.0.7                            , EVP_PKEY_verify                 , 10 , 3072 , 333105
openssl   , 3.0.7   , clang , clang version 15.0.7                            , BN_mod_exp_mont                 , 10 , 3072 , 2059  
openssl   , 3.0.7   , clang , clang version 15.0.7                            , BN_mod_exp_mont_consttime       , 10 , 3072 , 1878  
openssl   , 3.0.7   , clang , clang version 15.0.7                            , EVP_PKEY_sign                   , 10 , 3072 , 1861  
openssl   , 3.0.7   , clang , clang version 15.0.7                            , BN_mod_exp_mont_consttime_x2    , 10 , 3072 , 1938  
gmp       , 6.2.1   , clang , clang version 15.0.7                            , mpz_powm                        , 10 , 3072 , 1795  
gmp       , 6.2.1   , clang , clang version 15.0.7                            , mpz_powm_sec                    , 10 , 3072 , 1536  
gmp       , 6.1.2   , clang , clang version 15.0.7                            , mpz_powm                        , 10 , 3072 , 1398  
gmp       , 6.1.2   , clang , clang version 15.0.7                            , mpz_powm_sec                    , 10 , 3072 , 1213  
gmp       , 5.1.3   , clang , clang version 15.0.7                            , mpz_powm                        , 10 , 3072 , 1404  
gmp       , 5.1.3   , clang , clang version 15.0.7                            , mpz_powm_sec                    , 10 , 3072 , 1203  
nettle    , 3.8.1   , clang , clang version 15.0.7                            , rsa_sha1_verify_digest          , 10 , 3072 , 293582
nettle    , 3.8.1   , clang , clang version 15.0.7                            , rsa_sha1_sign_digest            , 10 , 3072 , 5765  
mbedtls   , 3.3.0   , clang , clang version 15.0.7                            , mbedtls_rsa_private             , 10 , 3072 , 1126  
mbedtls   , 3.3.0   , clang , clang version 15.0.7                            , mbedtls_mpi_exp_mod             , 10 , 3072 , 512   
mbedtls   , 3.3.0   , clang , clang version 15.0.7                            , mbedtls_rsa_public              , 10 , 3072 , 111572
mbedtls   , 2.28.2  , clang , clang version 15.0.7                            , mbedtls_rsa_private             , 10 , 3072 , 1173  
